Prompt,Response
"""Patient is 71 years old","Male. Symptoms include Fever, Sore throat, Runny nose. Heart rate: 93 bpm, Body temperature: 39.2°C, Blood pressure: 150/63, Oxygen saturation: 91%. What is the diagnosis and recommended treatment?,Diagnosis: Flu. Severity: Moderate. Recommended treatment: Medication and rest."
"""Patient is 26 years old","Female. Symptoms include Headache, Runny nose, Cough. Heart rate: 105 bpm, Body temperature: 39.1°C, Blood pressure: 114/83, Oxygen saturation: 99%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 57 years old","Female. Symptoms include Body ache, Shortness of breath, Runny nose. Heart rate: 82 bpm, Body temperature: 37.2°C, Blood pressure: 132/62, Oxygen saturation: 98%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 56 years old","Male. Symptoms include Sore throat, Fatigue, Fever. Heart rate: 115 bpm, Body temperature: 38.6°C, Blood pressure: 169/80, Oxygen saturation: 97%. What is the diagnosis and recommended treatment?,Diagnosis: Flu. Severity: Moderate. Recommended treatment: Medication and rest."
"""Patient is 78 years old","Female. Symptoms include Shortness of breath, Fever, Runny nose. Heart rate: 70 bpm, Body temperature: 35.8°C, Blood pressure: 136/101, Oxygen saturation: 91%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 25 years old","Female. Symptoms include Sore throat, Cough, Fever. Heart rate: 79 bpm, Body temperature: 39.6°C, Blood pressure: 103/70, Oxygen saturation: 96%. What is the diagnosis and recommended treatment?,Diagnosis: Flu. Severity: Moderate. Recommended treatment: Medication and rest."
"""Patient is 38 years old","Female. Symptoms include Headache, Fever, Cough. Heart rate: 83 bpm, Body temperature: 36.9°C, Blood pressure: 105/105, Oxygen saturation: 91%. What is the diagnosis and recommended treatment?,Diagnosis: Bronchitis. Severity: Severe. Recommended treatment: Hospitalization and medication."
"""Patient is 79 years old","Male. Symptoms include Cough, Fever, Fatigue. Heart rate: 82 bpm, Body temperature: 37.8°C, Blood pressure: 179/87, Oxygen saturation: 96%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 23 years old","Male. Symptoms include Body ache, Runny nose, Cough. Heart rate: 63 bpm, Body temperature: 36.5°C, Blood pressure: 169/111, Oxygen saturation: 90%. What is the diagnosis and recommended treatment?,Diagnosis: Bronchitis. Severity: Severe. Recommended treatment: Hospitalization and medication."
"""Patient is 32 years old","Female. Symptoms include Headache, Fever, Shortness of breath. Heart rate: 90 bpm, Body temperature: 37.2°C, Blood pressure: 115/106, Oxygen saturation: 94%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 34 years old","Male. Symptoms include Shortness of breath, Sore throat, Runny nose. Heart rate: 74 bpm, Body temperature: 38.3°C, Blood pressure: 142/87, Oxygen saturation: 99%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 71 years old","Male. Symptoms include Fatigue, Sore throat, Body ache. Heart rate: 110 bpm, Body temperature: 37.5°C, Blood pressure: 173/77, Oxygen saturation: 90%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 64 years old","Male. Symptoms include Runny nose, Headache, Sore throat. Heart rate: 109 bpm, Body temperature: 38.8°C, Blood pressure: 127/84, Oxygen saturation: 98%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 23 years old","Male. Symptoms include Runny nose, Headache, Cough. Heart rate: 111 bpm, Body temperature: 36.5°C, Blood pressure: 98/91, Oxygen saturation: 92%. What is the diagnosis and recommended treatment?,Diagnosis: Bronchitis. Severity: Severe. Recommended treatment: Hospitalization and medication."
"""Patient is 62 years old","Female. Symptoms include Cough, Runny nose, Body ache. Heart rate: 92 bpm, Body temperature: 38.9°C, Blood pressure: 125/103, Oxygen saturation: 92%. What is the diagnosis and recommended treatment?,Diagnosis: Bronchitis. Severity: Severe. Recommended treatment: Hospitalization and medication."
"""Patient is 24 years old","Female. Symptoms include Fever, Headache, Runny nose. Heart rate: 65 bpm, Body temperature: 38.0°C, Blood pressure: 174/76, Oxygen saturation: 93%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 69 years old","Female. Symptoms include Headache, Fever, Body ache. Heart rate: 79 bpm, Body temperature: 38.6°C, Blood pressure: 91/96, Oxygen saturation: 91%. What is the diagnosis and recommended treatment?,Diagnosis: Flu. Severity: Moderate. Recommended treatment: Medication and rest."
"""Patient is 67 years old","Male. Symptoms include Headache, Sore throat, Fever. Heart rate: 102 bpm, Body temperature: 38.4°C, Blood pressure: 121/64, Oxygen saturation: 98%. What is the diagnosis and recommended treatment?,Diagnosis: Flu. Severity: Moderate. Recommended treatment: Medication and rest."
"""Patient is 45 years old","Female. Symptoms include Fever, Sore throat, Body ache. Heart rate: 89 bpm, Body temperature: 36.8°C, Blood pressure: 159/72, Oxygen saturation: 93%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 32 years old","Male. Symptoms include Runny nose, Body ache, Fever. Heart rate: 119 bpm, Body temperature: 35.6°C, Blood pressure: 115/108, Oxygen saturation: 96%. What is the diagnosis and recommended treatment?,Diagnosis: Cold. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 42 years old","Female. Symptoms include Headache, Body ache, Cough. Heart rate: 78 bpm, Body temperature: 36.7°C, Blood pressure: 123/114, Oxygen saturation: 92%. What is the diagnosis and recommended treatment?,Diagnosis: Bronchitis. Severity: Severe. Recommended treatment: Hospitalization and medication."
"""Patient is 68 years old","Female. Symptoms include Headache, Fatigue, Runny nose. Heart rate: 73 bpm, Body temperature: 37.8°C, Blood pressure: 116/119, Oxygen saturation: 98%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 56 years old","Female. Symptoms include Shortness of breath, Cough, Fever. Heart rate: 81 bpm, Body temperature: 36.6°C, Blood pressure: 103/80, Oxygen saturation: 93%. What is the diagnosis and recommended treatment?,Diagnosis: Bronchitis. Severity: Severe. Recommended treatment: Hospitalization and medication."
"""Patient is 53 years old","Female. Symptoms include Runny nose, Shortness of breath, Headache. Heart rate: 103 bpm, Body temperature: 36.3°C, Blood pressure: 177/97, Oxygen saturation: 90%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 48 years old","Female. Symptoms include Body ache, Headache, Fever. Heart rate: 105 bpm, Body temperature: 37.4°C, Blood pressure: 143/69, Oxygen saturation: 91%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 51 years old","Male. Symptoms include Fever, Cough, Sore throat. Heart rate: 87 bpm, Body temperature: 38.5°C, Blood pressure: 95/84, Oxygen saturation: 90%. What is the diagnosis and recommended treatment?,Diagnosis: Flu. Severity: Moderate. Recommended treatment: Medication and rest."
"""Patient is 20 years old","Female. Symptoms include Fatigue, Cough, Body ache. Heart rate: 63 bpm, Body temperature: 38.7°C, Blood pressure: 119/70, Oxygen saturation: 93%. What is the diagnosis and recommended treatment?,Diagnosis: Bronchitis. Severity: Severe. Recommended treatment: Hospitalization and medication."
"""Patient is 42 years old","Female. Symptoms include Cough, Body ache, Headache. Heart rate: 80 bpm, Body temperature: 38.7°C, Blood pressure: 127/89, Oxygen saturation: 91%. What is the diagnosis and recommended treatment?,Diagnosis: Bronchitis. Severity: Severe. Recommended treatment: Hospitalization and medication."
"""Patient is 73 years old","Female. Symptoms include Shortness of breath, Cough, Fatigue. Heart rate: 84 bpm, Body temperature: 38.6°C, Blood pressure: 165/95, Oxygen saturation: 98%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 26 years old","Female. Symptoms include Shortness of breath, Sore throat, Body ache. Heart rate: 67 bpm, Body temperature: 39.9°C, Blood pressure: 166/104, Oxygen saturation: 90%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 23 years old","Female. Symptoms include Cough, Body ache, Runny nose. Heart rate: 60 bpm, Body temperature: 35.6°C, Blood pressure: 120/95, Oxygen saturation: 92%. What is the diagnosis and recommended treatment?,Diagnosis: Bronchitis. Severity: Severe. Recommended treatment: Hospitalization and medication."
"""Patient is 32 years old","Female. Symptoms include Fever, Runny nose, Shortness of breath. Heart rate: 90 bpm, Body temperature: 37.8°C, Blood pressure: 150/81, Oxygen saturation: 95%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 62 years old","Female. Symptoms include Fever, Fatigue, Headache. Heart rate: 100 bpm, Body temperature: 39.6°C, Blood pressure: 170/110, Oxygen saturation: 96%. What is the diagnosis and recommended treatment?,Diagnosis: Flu. Severity: Moderate. Recommended treatment: Medication and rest."
"""Patient is 28 years old","Female. Symptoms include Headache, Sore throat, Fatigue. Heart rate: 116 bpm, Body temperature: 37.5°C, Blood pressure: 104/97, Oxygen saturation: 98%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 49 years old","Female. Symptoms include Fatigue, Cough, Sore throat. Heart rate: 84 bpm, Body temperature: 37.5°C, Blood pressure: 141/88, Oxygen saturation: 92%. What is the diagnosis and recommended treatment?,Diagnosis: Bronchitis. Severity: Severe. Recommended treatment: Hospitalization and medication."
"""Patient is 29 years old","Male. Symptoms include Sore throat, Fatigue, Cough. Heart rate: 94 bpm, Body temperature: 36.5°C, Blood pressure: 158/101, Oxygen saturation: 92%. What is the diagnosis and recommended treatment?,Diagnosis: Bronchitis. Severity: Severe. Recommended treatment: Hospitalization and medication."
"""Patient is 54 years old","Female. Symptoms include Sore throat, Headache, Body ache. Heart rate: 81 bpm, Body temperature: 39.1°C, Blood pressure: 154/111, Oxygen saturation: 94%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 73 years old","Female. Symptoms include Cough, Fever, Body ache. Heart rate: 119 bpm, Body temperature: 37.1°C, Blood pressure: 147/86, Oxygen saturation: 95%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 72 years old","Female. Symptoms include Cough, Shortness of breath, Runny nose. Heart rate: 87 bpm, Body temperature: 37.1°C, Blood pressure: 174/106, Oxygen saturation: 95%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 42 years old","Male. Symptoms include Cough, Fatigue, Headache. Heart rate: 110 bpm, Body temperature: 39.6°C, Blood pressure: 157/67, Oxygen saturation: 98%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 62 years old","Female. Symptoms include Fatigue, Fever, Headache. Heart rate: 73 bpm, Body temperature: 39.1°C, Blood pressure: 160/118, Oxygen saturation: 93%. What is the diagnosis and recommended treatment?,Diagnosis: Flu. Severity: Moderate. Recommended treatment: Medication and rest."
"""Patient is 44 years old","Male. Symptoms include Shortness of breath, Sore throat, Body ache. Heart rate: 75 bpm, Body temperature: 37.4°C, Blood pressure: 94/75, Oxygen saturation: 93%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 33 years old","Female. Symptoms include Cough, Fatigue, Fever. Heart rate: 93 bpm, Body temperature: 38.0°C, Blood pressure: 117/65, Oxygen saturation: 92%. What is the diagnosis and recommended treatment?,Diagnosis: Bronchitis. Severity: Severe. Recommended treatment: Hospitalization and medication."
"""Patient is 59 years old","Female. Symptoms include Sore throat, Fever, Cough. Heart rate: 71 bpm, Body temperature: 38.4°C, Blood pressure: 176/119, Oxygen saturation: 96%. What is the diagnosis and recommended treatment?,Diagnosis: Flu. Severity: Moderate. Recommended treatment: Medication and rest."
"""Patient is 20 years old","Male. Symptoms include Shortness of breath, Runny nose, Sore throat. Heart rate: 109 bpm, Body temperature: 39.8°C, Blood pressure: 137/114, Oxygen saturation: 90%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 54 years old","Female. Symptoms include Fever, Sore throat, Cough. Heart rate: 89 bpm, Body temperature: 37.8°C, Blood pressure: 152/89, Oxygen saturation: 91%. What is the diagnosis and recommended treatment?,Diagnosis: Bronchitis. Severity: Severe. Recommended treatment: Hospitalization and medication."
"""Patient is 46 years old","Female. Symptoms include Runny nose, Headache, Shortness of breath. Heart rate: 63 bpm, Body temperature: 39.6°C, Blood pressure: 149/115, Oxygen saturation: 92%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 40 years old","Female. Symptoms include Cough, Shortness of breath, Runny nose. Heart rate: 68 bpm, Body temperature: 36.8°C, Blood pressure: 136/67, Oxygen saturation: 96%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 46 years old","Male. Symptoms include Fever, Fatigue, Headache. Heart rate: 91 bpm, Body temperature: 37.5°C, Blood pressure: 110/61, Oxygen saturation: 90%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 71 years old","Female. Symptoms include Runny nose, Headache, Cough. Heart rate: 112 bpm, Body temperature: 38.8°C, Blood pressure: 125/108, Oxygen saturation: 97%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 60 years old","Male. Symptoms include Sore throat, Headache, Cough. Heart rate: 75 bpm, Body temperature: 39.9°C, Blood pressure: 118/113, Oxygen saturation: 91%. What is the diagnosis and recommended treatment?,Diagnosis: Bronchitis. Severity: Severe. Recommended treatment: Hospitalization and medication."
"""Patient is 25 years old","Male. Symptoms include Cough, Sore throat, Body ache. Heart rate: 110 bpm, Body temperature: 39.1°C, Blood pressure: 132/66, Oxygen saturation: 93%. What is the diagnosis and recommended treatment?,Diagnosis: Bronchitis. Severity: Severe. Recommended treatment: Hospitalization and medication."
"""Patient is 49 years old","Female. Symptoms include Shortness of breath, Runny nose, Sore throat. Heart rate: 90 bpm, Body temperature: 37.1°C, Blood pressure: 153/96, Oxygen saturation: 93%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 71 years old","Male. Symptoms include Body ache, Fever, Shortness of breath. Heart rate: 106 bpm, Body temperature: 35.9°C, Blood pressure: 98/77, Oxygen saturation: 94%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 61 years old","Female. Symptoms include Fever, Cough, Sore throat. Heart rate: 85 bpm, Body temperature: 36.7°C, Blood pressure: 126/91, Oxygen saturation: 96%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 23 years old","Female. Symptoms include Body ache, Cough, Runny nose. Heart rate: 113 bpm, Body temperature: 38.8°C, Blood pressure: 113/75, Oxygen saturation: 91%. What is the diagnosis and recommended treatment?,Diagnosis: Bronchitis. Severity: Severe. Recommended treatment: Hospitalization and medication."
"""Patient is 69 years old","Female. Symptoms include Shortness of breath, Cough, Body ache. Heart rate: 119 bpm, Body temperature: 38.2°C, Blood pressure: 164/60, Oxygen saturation: 91%. What is the diagnosis and recommended treatment?,Diagnosis: Bronchitis. Severity: Severe. Recommended treatment: Hospitalization and medication."
"""Patient is 31 years old","Male. Symptoms include Headache, Shortness of breath, Cough. Heart rate: 112 bpm, Body temperature: 35.7°C, Blood pressure: 136/80, Oxygen saturation: 96%. What is the diagnosis and recommended treatment?,Diagnosis: Cold. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 39 years old","Male. Symptoms include Sore throat, Fever, Shortness of breath. Heart rate: 104 bpm, Body temperature: 39.1°C, Blood pressure: 92/83, Oxygen saturation: 91%. What is the diagnosis and recommended treatment?,Diagnosis: Pneumonia. Severity: Severe. Recommended treatment: Hospitalization and medication."
"""Patient is 55 years old","Male. Symptoms include Body ache, Fever, Shortness of breath. Heart rate: 81 bpm, Body temperature: 39.8°C, Blood pressure: 121/108, Oxygen saturation: 90%. What is the diagnosis and recommended treatment?,Diagnosis: Flu. Severity: Moderate. Recommended treatment: Medication and rest."
"""Patient is 46 years old","Female. Symptoms include Fatigue, Runny nose, Sore throat. Heart rate: 74 bpm, Body temperature: 37.5°C, Blood pressure: 166/101, Oxygen saturation: 99%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 77 years old","Female. Symptoms include Shortness of breath, Cough, Body ache. Heart rate: 73 bpm, Body temperature: 36.7°C, Blood pressure: 100/85, Oxygen saturation: 95%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 64 years old","Female. Symptoms include Runny nose, Body ache, Cough. Heart rate: 71 bpm, Body temperature: 37.0°C, Blood pressure: 93/66, Oxygen saturation: 98%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 56 years old","Female. Symptoms include Shortness of breath, Runny nose, Sore throat. Heart rate: 101 bpm, Body temperature: 39.8°C, Blood pressure: 175/88, Oxygen saturation: 98%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 48 years old","Female. Symptoms include Fever, Runny nose, Headache. Heart rate: 95 bpm, Body temperature: 37.3°C, Blood pressure: 178/96, Oxygen saturation: 90%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 32 years old","Female. Symptoms include Shortness of breath, Headache, Fever. Heart rate: 117 bpm, Body temperature: 35.9°C, Blood pressure: 134/93, Oxygen saturation: 91%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 19 years old","Female. Symptoms include Body ache, Fever, Sore throat. Heart rate: 117 bpm, Body temperature: 36.4°C, Blood pressure: 133/74, Oxygen saturation: 98%. What is the diagnosis and recommended treatment?,Diagnosis: Cold. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 35 years old","Female. Symptoms include Sore throat, Fever, Cough. Heart rate: 114 bpm, Body temperature: 36.7°C, Blood pressure: 130/75, Oxygen saturation: 98%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 67 years old","Male. Symptoms include Fatigue, Fever, Shortness of breath. Heart rate: 73 bpm, Body temperature: 36.3°C, Blood pressure: 129/91, Oxygen saturation: 98%. What is the diagnosis and recommended treatment?,Diagnosis: Cold. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 20 years old","Male. Symptoms include Fatigue, Body ache, Headache. Heart rate: 90 bpm, Body temperature: 38.5°C, Blood pressure: 158/109, Oxygen saturation: 94%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 33 years old","Male. Symptoms include Body ache, Shortness of breath, Sore throat. Heart rate: 71 bpm, Body temperature: 35.6°C, Blood pressure: 149/69, Oxygen saturation: 94%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 41 years old","Male. Symptoms include Headache, Cough, Fever. Heart rate: 93 bpm, Body temperature: 39.2°C, Blood pressure: 168/115, Oxygen saturation: 97%. What is the diagnosis and recommended treatment?,Diagnosis: Flu. Severity: Moderate. Recommended treatment: Medication and rest."
"""Patient is 41 years old","Female. Symptoms include Body ache, Runny nose, Cough. Heart rate: 70 bpm, Body temperature: 37.9°C, Blood pressure: 121/75, Oxygen saturation: 97%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 50 years old","Female. Symptoms include Fatigue, Headache, Cough. Heart rate: 66 bpm, Body temperature: 35.6°C, Blood pressure: 178/114, Oxygen saturation: 95%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 53 years old","Female. Symptoms include Fatigue, Headache, Body ache. Heart rate: 73 bpm, Body temperature: 39.0°C, Blood pressure: 165/94, Oxygen saturation: 99%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 31 years old","Male. Symptoms include Runny nose, Cough, Body ache. Heart rate: 79 bpm, Body temperature: 36.6°C, Blood pressure: 156/60, Oxygen saturation: 93%. What is the diagnosis and recommended treatment?,Diagnosis: Bronchitis. Severity: Severe. Recommended treatment: Hospitalization and medication."
"""Patient is 19 years old","Female. Symptoms include Fever, Headache, Fatigue. Heart rate: 99 bpm, Body temperature: 37.0°C, Blood pressure: 136/105, Oxygen saturation: 94%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 76 years old","Male. Symptoms include Body ache, Fever, Cough. Heart rate: 104 bpm, Body temperature: 39.7°C, Blood pressure: 172/103, Oxygen saturation: 91%. What is the diagnosis and recommended treatment?,Diagnosis: Pneumonia. Severity: Severe. Recommended treatment: Hospitalization and medication."
"""Patient is 65 years old","Female. Symptoms include Fatigue, Fever, Shortness of breath. Heart rate: 115 bpm, Body temperature: 37.5°C, Blood pressure: 125/106, Oxygen saturation: 96%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 35 years old","Female. Symptoms include Fatigue, Fever, Cough. Heart rate: 104 bpm, Body temperature: 39.2°C, Blood pressure: 150/76, Oxygen saturation: 97%. What is the diagnosis and recommended treatment?,Diagnosis: Flu. Severity: Moderate. Recommended treatment: Medication and rest."
"""Patient is 72 years old","Female. Symptoms include Sore throat, Fever, Shortness of breath. Heart rate: 102 bpm, Body temperature: 39.7°C, Blood pressure: 141/93, Oxygen saturation: 97%. What is the diagnosis and recommended treatment?,Diagnosis: Flu. Severity: Moderate. Recommended treatment: Medication and rest."
"""Patient is 50 years old","Female. Symptoms include Headache, Cough, Fatigue. Heart rate: 94 bpm, Body temperature: 39.3°C, Blood pressure: 112/74, Oxygen saturation: 97%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 31 years old","Female. Symptoms include Headache, Shortness of breath, Fatigue. Heart rate: 115 bpm, Body temperature: 38.7°C, Blood pressure: 117/79, Oxygen saturation: 93%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 51 years old","Male. Symptoms include Fatigue, Runny nose, Sore throat. Heart rate: 115 bpm, Body temperature: 38.0°C, Blood pressure: 169/106, Oxygen saturation: 98%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 35 years old","Male. Symptoms include Body ache, Sore throat, Fever. Heart rate: 69 bpm, Body temperature: 39.2°C, Blood pressure: 131/111, Oxygen saturation: 94%. What is the diagnosis and recommended treatment?,Diagnosis: Flu. Severity: Moderate. Recommended treatment: Medication and rest."
"""Patient is 76 years old","Male. Symptoms include Cough, Shortness of breath, Headache. Heart rate: 100 bpm, Body temperature: 37.2°C, Blood pressure: 105/78, Oxygen saturation: 94%. What is the diagnosis and recommended treatment?,Diagnosis: Bronchitis. Severity: Severe. Recommended treatment: Hospitalization and medication."
"""Patient is 23 years old","Male. Symptoms include Shortness of breath, Cough, Runny nose. Heart rate: 117 bpm, Body temperature: 36.0°C, Blood pressure: 134/109, Oxygen saturation: 95%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 42 years old","Male. Symptoms include Fatigue, Body ache, Sore throat. Heart rate: 84 bpm, Body temperature: 39.0°C, Blood pressure: 141/94, Oxygen saturation: 94%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 45 years old","Male. Symptoms include Shortness of breath, Body ache, Headache. Heart rate: 69 bpm, Body temperature: 36.4°C, Blood pressure: 163/70, Oxygen saturation: 90%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 42 years old","Male. Symptoms include Fatigue, Runny nose, Shortness of breath. Heart rate: 106 bpm, Body temperature: 38.4°C, Blood pressure: 151/90, Oxygen saturation: 97%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 39 years old","Female. Symptoms include Cough, Fever, Sore throat. Heart rate: 65 bpm, Body temperature: 36.0°C, Blood pressure: 156/98, Oxygen saturation: 94%. What is the diagnosis and recommended treatment?,Diagnosis: Bronchitis. Severity: Severe. Recommended treatment: Hospitalization and medication."
"""Patient is 32 years old","Female. Symptoms include Sore throat, Runny nose, Headache. Heart rate: 100 bpm, Body temperature: 39.9°C, Blood pressure: 154/90, Oxygen saturation: 91%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 48 years old","Male. Symptoms include Fatigue, Runny nose, Body ache. Heart rate: 119 bpm, Body temperature: 39.3°C, Blood pressure: 173/70, Oxygen saturation: 90%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 61 years old","Female. Symptoms include Headache, Fever, Body ache. Heart rate: 76 bpm, Body temperature: 39.5°C, Blood pressure: 145/66, Oxygen saturation: 91%. What is the diagnosis and recommended treatment?,Diagnosis: Flu. Severity: Moderate. Recommended treatment: Medication and rest."
"""Patient is 20 years old","Female. Symptoms include Shortness of breath, Fatigue, Runny nose. Heart rate: 72 bpm, Body temperature: 39.4°C, Blood pressure: 140/77, Oxygen saturation: 98%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 72 years old","Female. Symptoms include Fever, Fatigue, Shortness of breath. Heart rate: 75 bpm, Body temperature: 37.1°C, Blood pressure: 139/66, Oxygen saturation: 92%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 78 years old","Male. Symptoms include Fatigue, Headache, Fever. Heart rate: 119 bpm, Body temperature: 35.8°C, Blood pressure: 90/72, Oxygen saturation: 92%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 19 years old","Female. Symptoms include Body ache, Headache, Runny nose. Heart rate: 70 bpm, Body temperature: 36.8°C, Blood pressure: 115/63, Oxygen saturation: 91%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
